valid_for,apply_to,code,description,,notes,origin,color
ODO_sat,ODO_sat,SDO ,DO suspect,,,NERRS,#7180ac
ODO_sat,ODO_sat,SDP ,DO membrane puncture,,,NERRS,#2b4570
any_sensor,selected_sensor,SIC ,"incorrect calibration constant, multiplier or offset",,,NERRS,#a8d0db
any_sensor,selected_sensor,SIW ,incorrect wiring,,THIS WILL DEPEND ON SET-UPS - is it a situation where there could be incorrect wiring?,NERRS,#e49273
any_sensor,selected_sensor,SMT ,sensor maintenance,,,NERRS,#a37a74
any_sensor,selected_sensor,SNV ,negative value,,,NERRS,#1c0f13
any_sensor,selected_sensor,SOC ,out of calibration,,,NERRS,#6e7e85
any_sensor,selected_sensor,SOW ,sensor out of water,,,NERRS,#b7cece
any_sensor,selected_sensor,SPC ,post calibration out of range,,,NERRS,#bbbac6
any_sensor,selected_sensor,SQR,data rejected due to QA/QC checks,,,NERRS,#e2e2e2
any_sensor,selected_sensor,SRD,replicated values differ substantially,,,NERRS,#efc69b
any_sensor,selected_sensor,SSD ,sensor drift,,,NERRS,#af1b3f
any_sensor,selected_sensor,SSM ,sensor malfunction,,,NERRS,#473144
any_sensor,selected_sensor,SSN ,not a number/unknown value,,,NERRS,#ccb69b
any_sensor,selected_sensor,SSR ,sensor removed / not deployed,,,NERRS,#df9b6d
Cond_microS_cm,Cond_microS_cm,STF ,catastrophic temperature sensor failure,,,NERRS,#bffff1
Turbidity_FNU,Turbidity_FNU,STS ,turbidity spike,,"NOTE important difference from CTS/turbidity spike comment code, which would be used in situation where turb spike influences other sensors/entire record (?)",NERRS,#7cffcb
any_sensor,selected_sensor,SUL,value above upper limit of method detection,,,NERRS,#74f2ce
any_sensor,selected_sensor,SWM ,wiper malfunction / loss,,,NERRS,#379634
any_sensor,selected_sensor,CMG,needs MarineGEO Central review,,,MarineGEO,#0a3200
any_sensor,selected_sensor,GDB,Pre-deployment points,,,MarineGEO,
any_sensor,selected_sensor,GDE,Post-deployment points,,,MarineGEO,
