Timestamp,Air Temperature,Wind Speed,Wind Gust,Wind Direction,Relative Humidity,Daily Rain,Rain Rate,Solar Radiation,Barometric Pressure,Site
1/1/2016 0:00,25.38,5.64,9.91,349.4,97,1.78,7.112,0.85,NA,STRI
1/1/2016 0:15,25.42,5.32,8.53,309.2,97.4,2.54,3.048,0.34,NA,STRI
1/1/2016 0:30,25.38,5.58,7.65,317,97.2,2.79,1.016,0.24,NA,STRI
1/1/2016 0:45,25.42,6.82,10.06,312,97,3.05,1.016,0.21,NA,STRI
1/1/2016 1:00,25.37,6.41,9.73,306.6,96.9,3.05,0,0.18,NA,STRI
1/1/2016 1:15,25.25,5.9,8.94,324,96.6,3.05,0,0,NA,STRI
1/1/2016 1:30,25.06,5.31,7.46,319,97.2,3.05,0,0,NA,STRI
1/1/2016 1:45,25.11,5.9,7.48,320.4,97,3.05,0,0,NA,STRI
1/1/2016 2:00,25.22,5.96,8.72,318.7,96.1,3.05,0,0,NA,STRI
1/1/2016 2:15,25.21,4.92,6.69,322.1,96.2,3.05,0,0,NA,STRI
1/1/2016 2:30,25.08,5.1,7.17,313.7,97.2,3.05,0,0.01,NA,STRI
1/1/2016 2:45,25.23,5.7,8,305.9,97.5,3.05,0,0,NA,STRI
1/1/2016 3:00,25.4,5.5,7.74,313.8,96.7,3.05,0,0,NA,STRI
1/1/2016 3:15,25.42,5.43,8.85,313.8,96.5,3.05,0,0,NA,STRI
1/1/2016 3:30,25.38,6.13,8.35,318.6,96.1,3.05,0,0.01,NA,STRI
1/1/2016 3:45,25.2,6,7.76,316.3,96.5,3.05,0,0,NA,STRI
1/1/2016 4:00,25.29,5.74,7.52,312,96.6,3.05,0,0,NA,STRI
1/1/2016 4:15,25.51,4.87,6.82,308.9,96,3.05,0,0.01,NA,STRI
1/1/2016 4:30,25.55,6.32,8.55,311.5,95.9,3.05,0,0,NA,STRI
1/1/2016 4:45,25.41,5.78,8.29,319,96.1,3.05,0,0.01,NA,STRI
1/1/2016 5:00,25.16,5.4,7.06,315.3,96.6,3.05,0,0,NA,STRI
1/1/2016 5:15,25.17,6.11,8.66,315.3,96.7,3.05,0,0.01,NA,STRI
1/1/2016 5:30,25.48,6.78,10.83,312.3,95.3,3.05,0,0,NA,STRI
1/1/2016 5:45,25.35,5.26,8.15,313.2,95.6,3.05,0,0,NA,STRI
1/1/2016 6:00,25.43,6.36,8.84,310.1,95.8,3.05,0,0,NA,STRI
1/1/2016 6:15,25.61,6.93,11.31,317,95.2,3.05,0,0.01,NA,STRI
1/1/2016 6:30,25.76,7.34,11.27,308.4,94.1,3.05,0,0.02,NA,STRI
1/1/2016 6:45,25.54,5.7,9.45,330.8,94.2,3.05,0,1.52,NA,STRI
1/1/2016 7:00,25.71,6.34,8.79,316.6,93.3,3.05,0,4.76,NA,STRI
1/1/2016 7:15,25.38,6.45,8.79,312.7,94.4,3.05,0,20.81,NA,STRI
