Timestamp,Temperature,Specific Conductivity,Conductivity,Salinity,Dissolved Oxygen,Dissolved Oxygen 2,Pressure,Depth,pH,Turbidity,Chlorophyll,Chlorophyll 2,BGA-PE,BGA-PE 2,FDOM,FDOM 2,Battery,Site
1/1/2017 0:00,4.46999979,24.2976799,14.77000046,14.52801323,102.8,12.07504177,1.17,0.82,8.16,4.03,4.9,17.6,9.5,23,6.1,15.95,4.6,SERC
1/1/2017 0:06,4.480000019,24.29004669,14.77000046,14.52361202,102.8,12.07235432,1.18,0.82,8.16,4.04,5.1,18.4,10.4,25,6.1,15.95,4.6,SERC
1/1/2017 0:12,4.46999979,24.2976799,14.77000046,14.52801323,102.7,12.06329441,1.18,0.82,8.16,3.98,5,18.3,9.8,23,6.2,15.99,4.6,SERC
1/1/2017 0:18,4.46999979,24.28122902,14.76000023,14.51734734,102.7,12.06415844,1.18,0.82,8.16,4.02,5.1,18.4,9.2,22,6.2,16.03,4.6,SERC
1/1/2017 0:24,4.489999771,24.2824192,14.77000046,14.51921368,102.7,12.05792713,1.18,0.82,8.16,4.04,5.3,19.2,10.2,24,6.2,15.99,4.6,SERC
1/1/2017 0:30,4.480000019,24.29004669,14.77000046,14.52361202,102.6,12.04886723,1.18,0.82,8.16,3.94,5.2,18.7,8.8,21,6.2,15.98,4.6,SERC
1/1/2017 0:36,4.480000019,24.27360153,14.76000023,14.51294994,102.6,12.04972935,1.18,0.82,8.16,4.11,5.2,18.8,10.6,25,6.2,16,4.6,SERC
1/1/2017 0:42,4.46999979,24.28122902,14.76000023,14.51734734,102.6,12.05241108,1.18,0.82,8.16,4.12,5,18,10.4,25,6.2,16.01,4.6,SERC
1/1/2017 0:48,4.489999771,24.26597977,14.76000023,14.50855446,102.6,12.04704857,1.18,0.82,8.16,4.09,4.9,17.6,10.4,25,6.2,16,4.6,SERC
1/1/2017 0:54,4.480000019,24.25715637,14.75,14.50228786,102.5,12.03884697,1.18,0.82,8.16,4.17,5.1,18.4,10.2,24,6.2,16,4.6,SERC
1/1/2017 1:00,4.480000019,24.25715637,14.75,14.50228786,102.5,12.03884697,1.18,0.82,8.16,4.15,4.7,17.2,9.7,23,6.2,15.96,4.6,SERC
1/1/2017 1:06,4.480000019,24.25715637,14.75,14.50228786,102.5,12.03884697,1.19,0.82,8.16,4.13,5.1,18.4,10.5,25,6.2,15.98,4.6,SERC
1/1/2017 1:12,4.489999771,24.24953842,14.75,14.49789524,102.5,12.0361681,1.19,0.82,8.16,4.13,5.3,19.1,10.5,25,6.1,15.95,4.6,SERC
1/1/2017 1:18,4.489999771,24.24953842,14.75,14.49789524,102.5,12.0361681,1.19,0.83,8.16,4.15,5.2,18.9,10.4,25,6.2,15.99,4.6,SERC
1/1/2017 1:24,4.46999979,24.24832726,14.73999977,14.49601746,102.3,12.01889133,1.18,0.82,8.16,4.12,5.1,18.4,9.9,24,6.2,16,4.6,SERC
