Timestamp,Air Temperature,Wind Speed,Wind Gust,Wind Direction,Relative Humidity,Daily Rain,Rain Rate,Solar Radiation,Barometric Pressure,Site
1/1/2017 0:00,24.16,7.28,10.172,313.4,88.4,0,0,0,1014,STRI
1/1/2017 0:15,24.17,8.23,10.588,304.2,88.2,0,0,0,1014,STRI
1/1/2017 0:30,24,7.11,9.097,306.8,89.8,0,0,0,1013,STRI
1/1/2017 0:45,23.93,7.64,11.707,310.1,90.6,0,0,0,1013,STRI
1/1/2017 1:00,23.78,9.04,11.837,308.8,90.9,0,0,0,1013,STRI
1/1/2017 1:15,23.6,8.66,12.514,308.3,91.7,0,0,0,1013,STRI
1/1/2017 1:30,23.55,8.41,10.7,307.9,92,0,0,0.03,1013,STRI
1/1/2017 1:45,23.45,7.12,10.389,312.6,92.5,0,0,0.147,1013,STRI
1/1/2017 2:00,23.58,7.2,9.625,309.8,91.7,0,0,0,1013,STRI
1/1/2017 2:15,23.7,6.58,8.637,313.6,90.8,0,0,0,1013,STRI
1/1/2017 2:30,23.74,5.74,8.065,317.7,90.1,0,0,0,1012,STRI
1/1/2017 2:45,23.62,6.01,11.75,333.4,90.6,0,0,0,1012,STRI
1/1/2017 3:00,23.43,6.88,10.06,316.5,91.5,0.254,1.016,0.171,1012,STRI
1/1/2017 3:15,23.5,5.47,7.214,302.6,91.8,0.254,0,0.071,1012,STRI
1/1/2017 3:30,23.6,4.81,6.885,334.6,91.3,0.254,0,0,1012,STRI
1/1/2017 3:45,23.85,5.37,7.171,320.7,90.1,0.254,0,0,1012,STRI
1/1/2017 4:00,24.03,4.23,5.592,310.3,90,0.254,0,0,1012,STRI
1/1/2017 4:15,24.14,4.71,6.158,306.5,90.1,0.254,0,0,1012,STRI
1/1/2017 4:30,24.18,5.76,7.5,311,90.1,0.254,0,0,1012,STRI
1/1/2017 4:45,23.93,6.76,8.768,306.7,91,0.254,0,0,1012,STRI
1/1/2017 5:00,23.72,5.99,7.63,304.3,91.9,0.254,0,0,1012,STRI
1/1/2017 5:15,23.8,5.43,8.264,307.2,91.5,0.254,0,0,1012,STRI
1/1/2017 5:30,24.3,6.4,8.985,297.7,89.7,0.254,0,0,1012,STRI
1/1/2017 5:45,23.84,4,5.437,319.2,90.7,0.254,0,0,1012,STRI
