Timestamp,Air Temperature,Wind Speed,Wind Gust,Wind Direction,Relative Humidity,Barometric Pressure,Daily Rain,Rain Rate,PAR,Site
1/1/2017 0:00,7.89,12.3,14.1,212,36,1013.21,0,0,0,SERC
1/1/2017 0:06,7.89,8.7,10.6,231,37,1013.21,0,0,0,SERC
1/1/2017 0:12,7.89,15.1,16.5,200,36,1013.55,0,0,0,SERC
1/1/2017 0:18,7.89,10.4,12.4,250,36,1013.55,0,0,0,SERC
1/1/2017 0:24,7.78,6.3,7.5,221,36,1013.88,0,0,0,SERC
1/1/2017 0:30,7.78,12.4,13.2,226,36,1013.88,0,0,0,SERC
1/1/2017 0:36,7.78,9.9,11.1,241,36,1013.88,0,0,0,SERC
1/1/2017 0:42,7.78,11.3,11.8,238,36,1013.88,0,0,0,SERC
1/1/2017 0:48,7.67,6.9,7.8,227,37,1013.88,0,0,1.45,SERC
1/1/2017 0:54,7.67,11.8,12.5,240,37,1013.55,0,0,0,SERC
1/1/2017 1:00,7.78,10.6,11.8,231,37,1013.88,0,0,0,SERC
1/1/2017 1:06,7.67,8.4,9.2,236,37,1013.88,0,0,0,SERC
1/1/2017 1:12,7.78,13.5,14.3,259,36,1013.88,0,0,0,SERC
1/1/2017 1:18,7.78,11.8,12.3,248,36,1014.22,0,0,0,SERC
1/1/2017 1:24,7.89,8.9,9.5,242,37,1013.88,0,0,0,SERC
1/1/2017 1:30,7.89,9.1,10,221,36,1013.88,0,0,0,SERC
1/1/2017 1:36,7.78,8.5,10,243,37,1014.22,0,0,0,SERC
1/1/2017 1:42,7.78,10.5,11.9,238,36,1014.22,0,0,0,SERC
1/1/2017 1:48,7.78,8.5,9.1,234,36,1014.56,0,0,0,SERC
1/1/2017 1:54,7.67,11.3,12,219,36,1014.56,0,0,0,SERC
1/1/2017 2:00,7.78,12,13.4,238,37,1014.56,0,0,0,SERC
1/1/2017 2:06,7.67,11.6,12.3,244,37,1014.56,0,0,0,SERC
1/1/2017 2:12,7.56,10.9,11.6,234,37,1014.56,0,0,0,SERC
1/1/2017 2:18,7.56,6.8,7.6,231,39,1014.9,0,0,0,SERC
1/1/2017 2:24,7.5,7,7.5,242,38,1014.9,0,0,0,SERC
1/1/2017 2:30,7.5,9.8,10.7,232,37,1014.9,0,0,0,SERC
1/1/2017 2:36,7.39,6.5,7.7,214,37,1015.24,0,0,0,SERC
1/1/2017 2:42,7.28,3.6,4,268,39,1015.24,0,0,0,SERC
1/1/2017 2:48,7.17,5.9,6.7,245,40,1015.24,0,0,0,SERC
1/1/2017 2:54,7.17,7.1,7.5,232,39,1015.24,0,0,0,SERC
1/1/2017 3:00,7.17,7.5,8.3,231,38,1015.24,0,0,0,SERC
1/1/2017 3:06,7.17,5.9,6.4,238,39,1015.24,0,0,0,SERC
1/1/2017 3:12,7.06,10.5,11.1,223,39,1015.24,0,0,1.45,SERC
1/1/2017 3:18,7.06,6.7,7.7,246,39,1015.24,0,0,0,SERC
1/1/2017 3:24,7,6.8,8.1,234,39,1015.24,0,0,0,SERC
1/1/2017 3:30,7,10.5,11.3,225,38,1015.58,0,0,0,SERC
1/1/2017 3:36,7,7.7,8.6,254,39,1015.58,0,0,0,SERC
1/1/2017 3:42,6.89,6.4,6.9,250,40,1015.58,0,0,0,SERC
1/1/2017 3:48,6.89,8.4,8.8,226,39,1015.92,0,0,0,SERC
1/1/2017 3:54,6.78,7.4,8,255,39,1015.92,0,0,0,SERC
1/1/2017 4:00,6.78,6.4,6.8,237,40,1016.25,0,0,0,SERC
1/1/2017 4:06,6.67,4.7,6.2,251,41,1016.25,0,0,0,SERC
1/1/2017 4:12,6.67,6.4,6.9,237,41,1016.25,0,0,0,SERC
1/1/2017 4:18,6.5,4.3,4.7,236,40,1016.59,0,0,0,SERC
1/1/2017 4:24,6.39,3.7,4.1,235,41,1016.59,0,0,0,SERC
1/1/2017 4:30,6.28,4.5,4.8,228,41,1016.59,0,0,0,SERC
1/1/2017 4:36,6.17,3.7,3.9,263,41,1016.59,0,0,0,SERC
1/1/2017 4:42,6.06,5.2,5.5,242,42,1016.59,0,0,0,SERC
1/1/2017 4:48,6,3.4,4,260,43,1016.93,0,0,0,SERC
1/1/2017 4:54,5.78,1.9,2.4,280,43,1016.93,0,0,0,SERC
1/1/2017 5:00,5.67,1.9,2.2,249,44,1016.93,0,0,0,SERC
1/1/2017 5:06,5.39,1.3,1.6,280,43,1017.27,0,0,0,SERC
1/1/2017 5:12,5.17,1.4,1.6,308,43,1017.27,0,0,0,SERC
1/1/2017 5:18,5.17,1.8,2.1,321,44,1017.27,0,0,0,SERC
1/1/2017 5:24,5,1.8,2.4,304,44,1017.27,0,0,0,SERC
1/1/2017 5:30,5.06,1.7,1.9,337,44,1017.27,0,0,0,SERC
1/1/2017 5:36,5.17,1.2,1.5,0,43,1017.27,0,0,0,SERC
1/1/2017 5:42,4.89,2.6,2.9,278,45,1017.61,0,0,0,SERC
1/1/2017 5:48,4.17,0.7,1.1,288,49,1017.61,0,0,0,SERC
1/1/2017 5:54,3.78,2.7,3.1,244,55,1017.95,0,0,0,SERC
1/1/2017 6:00,3.56,1.7,1.9,325,52,1017.95,0,0,0,SERC
1/1/2017 6:06,3.89,1.4,1.6,338,47,1018.29,0,0,0,SERC
1/1/2017 6:12,4,0.9,1.1,253,47,1018.29,0,0,0,SERC
1/1/2017 6:18,4,1.4,1.7,250,52,1018.63,0,0,0,SERC
1/1/2017 6:24,3.67,2.9,3.1,249,53,1018.63,0,0,0,SERC
1/1/2017 6:30,3.17,2.6,2.8,241,57,1018.63,0,0,0,SERC
1/1/2017 6:36,3.06,1.9,2.2,318,51,1018.63,0,0,0,SERC
1/1/2017 6:42,3.56,2.6,2.8,324,50,1018.63,0,0,0,SERC
1/1/2017 6:48,4.17,2.6,2.9,264,48,1018.63,0,0,0,SERC
1/1/2017 6:54,4.5,3.5,4,263,48,1018.63,0,0,0,SERC
1/1/2017 7:00,4.5,2.7,2.9,250,50,1018.96,0,0,0,SERC
1/1/2017 7:06,4.06,3.2,3.4,252,52,1018.96,0,0,0,SERC
1/1/2017 7:12,3.56,3.6,4,253,55,1018.96,0,0,0,SERC
1/1/2017 7:18,3.5,3.4,3.8,252,50,1019.3,0,0,0,SERC
1/1/2017 7:24,3.89,2.5,2.7,266,54,1019.3,0,0,6.02,SERC
1/1/2017 7:30,4.17,1.4,1.6,266,54,1019.3,0,0,17.83,SERC
1/1/2017 7:36,4.5,2.3,2.6,256,50,1019.3,0,0,34.21,SERC
1/1/2017 7:42,4.5,2.2,3,252,48,1019.64,0,0,50.6,SERC
1/1/2017 7:48,4.5,1.7,2.1,238,51,1019.64,0,0,74.45,SERC
1/1/2017 7:54,3.89,3.6,3.9,246,60,1019.64,0,0,96.62,SERC
1/1/2017 8:00,4.5,4.5,5,261,50,1019.64,0,0,125.05,SERC
1/1/2017 8:06,4.5,3.2,3.7,264,49,1019.98,0,0,132.52,SERC
1/1/2017 8:12,4.78,2.3,2.6,283,49,1019.98,0,0,163.6,SERC
1/1/2017 8:18,5.17,0.9,1.3,240,50,1019.98,0,0,159.26,SERC
1/1/2017 8:24,5.17,1.4,1.9,257,48,1019.98,0,0,197.81,SERC
1/1/2017 8:30,5.5,3.1,3.7,285,48,1020.32,0,0,233.47,SERC
1/1/2017 8:36,5.78,2.4,2.7,238,47,1020.32,0,0,239.5,SERC
1/1/2017 8:42,5.89,2.6,2.9,263,49,1020.32,0,0,279.74,SERC
1/1/2017 8:48,6.06,2.9,3.5,261,45,1020.66,0,0,287.2,SERC
1/1/2017 8:54,6.28,3.5,3.8,264,46,1020.66,0,0,318.29,SERC
1/1/2017 9:00,6.56,3.8,4.2,242,44,1021,0,0,333.23,SERC
1/1/2017 9:06,6.78,4.7,5,237,43,1021,0,0,342.14,SERC
1/1/2017 9:12,6.89,3,3.3,235,43,1021,0,0,312.5,SERC
1/1/2017 9:18,7,0.9,1.4,312,46,1021,0,0,328.89,SERC
1/1/2017 9:24,7.28,0.4,0.5,165,45,1021,0,0,412.01,SERC
1/1/2017 9:30,7.89,1.5,1.7,165,43,1021.33,0,0,462.61,SERC
1/1/2017 9:36,8.28,2.3,2.5,218,43,1021.33,0,0,379.25,SERC
1/1/2017 9:42,8.28,1,1.4,193,44,1021.33,0,0,306.48,SERC
1/1/2017 9:48,8.56,2.6,3,312,46,1021.33,0,0,305.03,SERC
1/1/2017 9:54,8.78,3.4,4.1,322,45,1021.67,0,0,346.72,SERC
1/1/2017 10:00,8.89,2.6,3,357,46,1021.67,0,0,372.02,SERC
1/1/2017 10:06,8.89,9.4,11.5,342,44,1021.67,0,0,404.54,SERC
1/1/2017 10:12,9,5.5,6.3,345,44,1021.67,0,0,446.23,SERC
1/1/2017 10:18,9.06,1.5,2.4,331,44,1021.67,0,0,461.17,SERC
1/1/2017 10:24,9.28,3.7,5.3,348,44,1021.67,0,0,541.64,SERC
1/1/2017 10:30,9.5,4.9,6.7,55,43,1021.67,0,0,614.41,SERC
1/1/2017 10:36,9.56,2.3,4.2,335,44,1022.01,0,0,658.98,SERC
1/1/2017 10:42,9.78,1.6,2.3,289,43,1022.01,0,0,574.17,SERC
1/1/2017 10:48,9.89,0.4,0.7,238,44,1022.01,0,0,563.81,SERC
1/1/2017 10:54,10.06,3.7,4.8,355,43,1022.01,0,0,638.26,SERC
1/1/2017 11:00,10.28,9.3,9.9,328,42,1022.01,0,0,623.32,SERC
1/1/2017 11:06,10.17,4.7,6.9,337,43,1022.01,0,0,572.72,SERC
1/1/2017 11:12,10.17,4.4,5.3,32,43,1022.01,0,0,574.17,SERC
1/1/2017 11:18,10.17,3.8,4.4,345,43,1022.01,0,0,592,SERC
1/1/2017 11:24,10.28,6.6,7.9,4,43,1022.01,0,0,734.88,SERC
1/1/2017 11:30,10.39,8,8.7,313,41,1022.01,0,0,766.2,SERC
1/1/2017 11:36,10.39,7.2,8.2,1,41,1022.01,0,0,775.12,SERC
1/1/2017 11:42,10.5,4.7,6.2,336,41,1022.01,0,0,763.31,SERC
1/1/2017 11:48,10.5,6.6,7.3,19,41,1021.67,0,0,830.05,SERC
1/1/2017 11:54,10.67,5.4,6.2,326,41,1021.67,0,0,749.82,SERC
1/1/2017 12:00,10.78,4.9,6.2,34,41,1022.01,0,0,743.79,SERC
1/1/2017 12:06,10.78,5.9,8.7,20,41,1021.67,0,0,929.8,SERC
