TMSTAMP,RECNBR,WaterTemp,SpCond,Cond,TDS,Salinity,ODOSat,ODO,Pressure,Depth,PH,Turbidity,FChlorophyll,MChlorophyll,FAlgae,MAlgae,fDom,QSEfDom,pHmv,Site
1/1/2019 0:00,11427,28.19,52.58,55.78,34.18,34.56,92.9,5.98,0.81,0.545,8.06,0.82,0.19,0.79,-0.75,1.08,0.45,1.36,-85.6,STRI
1/1/2019 0:06,11428,28.17,52.58,55.76,34.18,34.55,92.6,5.97,0.79,0.532,8.06,0.76,0.14,0.65,-0.75,1.06,0.47,1.41,-85.6,STRI
1/1/2019 0:12,11429,28.16,52.58,55.76,34.18,34.56,92.1,5.93,0.78,0.523,8.06,0.8,0.22,0.87,-0.66,1.38,0.49,1.47,-85.4,STRI
1/1/2019 0:18,11430,28.17,52.58,55.77,34.18,34.56,90.9,5.86,0.77,0.517,8.05,1.06,0.27,1.01,-0.63,1.5,0.49,1.48,-85.2,STRI
1/1/2019 0:30,11431,28.16,52.56,55.73,34.16,34.54,90.3,5.81,0.75,0.503,8.05,0.83,0.21,0.85,-0.69,1.29,0.67,2.01,-85.1,STRI
1/1/2019 0:36,11432,28.12,52.56,55.69,34.16,34.54,91,5.87,0.74,0.497,8.05,0.89,0.22,0.89,-0.64,1.47,0.46,1.39,-85.2,STRI
1/1/2019 0:42,11433,28.11,52.55,55.67,34.16,34.53,90.8,5.85,0.74,0.495,8.05,0.87,0.23,0.92,-0.73,1.14,0.52,1.55,-85.2,STRI
1/1/2019 0:48,11434,28.13,52.55,55.7,34.16,34.54,89.2,5.75,0.72,0.481,8.05,0.82,0.15,0.7,-0.73,1.15,0.5,1.51,-84.8,STRI
1/1/2019 1:00,11435,28.13,52.56,55.71,34.16,34.54,88.5,5.7,0.73,0.487,8.05,1,0.22,0.88,-0.63,1.51,0.49,1.48,-84.7,STRI
1/1/2019 1:06,11436,28.1,52.56,55.67,34.16,34.54,87.9,5.67,0.71,0.473,8.04,0.82,0.21,0.85,-0.64,1.46,0.52,1.57,-84.6,STRI
1/1/2019 1:12,11437,28.1,52.56,55.67,34.16,34.54,87.7,5.65,0.71,0.475,8.04,0.85,0.26,1,-0.55,1.79,0.47,1.41,-84.6,STRI
1/1/2019 1:18,11438,28.1,52.55,55.66,34.16,34.54,87.3,5.63,0.68,0.457,8.04,0.97,0.19,0.8,-0.69,1.29,0.43,1.3,-84.6,STRI
1/1/2019 1:30,11439,28.08,52.56,55.65,34.16,34.54,87.4,5.63,0.69,0.461,8.04,0.86,0.17,0.75,-0.75,1.07,0.48,1.44,-84.5,STRI
1/1/2019 1:36,11440,28.05,52.55,55.62,34.16,34.54,87.4,5.64,0.69,0.457,8.04,0.9,0.16,0.71,-0.72,1.18,0.43,1.3,-84.5,STRI
1/1/2019 1:42,11441,28.06,52.56,55.63,34.16,34.54,87.4,5.64,0.69,0.458,8.04,0.81,0.16,0.7,-0.7,1.24,0.45,1.36,-84.5,STRI
1/1/2019 1:48,11442,28.05,52.56,55.62,34.16,34.54,87.5,5.65,0.66,0.438,8.04,0.89,0.17,0.74,-0.76,1.02,0.47,1.41,-84.5,STRI
1/1/2019 2:00,11443,28.05,52.56,55.61,34.16,34.54,86.9,5.61,0.67,0.444,8.04,0.82,0.19,0.78,-0.68,1.33,0.48,1.44,-84.3,STRI
1/1/2019 2:06,11444,28.05,52.56,55.62,34.16,34.54,85.9,5.54,0.67,0.444,8.03,0.85,0.16,0.7,-0.77,1,0.5,1.49,-84,STRI
1/1/2019 2:12,11445,28.06,52.56,55.63,34.16,34.54,84.7,5.47,0.65,0.432,8.03,0.83,0.17,0.74,-0.74,1.1,0.5,1.51,-83.8,STRI
1/1/2019 2:18,11446,28.05,52.56,55.62,34.16,34.54,84.1,5.43,0.65,0.435,8.03,0.89,0.18,0.76,-0.63,1.49,0.51,1.54,-83.6,STRI
1/1/2019 2:30,11447,28.05,52.56,55.62,34.16,34.54,83.9,5.41,0.66,0.439,8.03,0.87,0.19,0.79,-0.72,1.18,0.51,1.53,-83.6,STRI
1/1/2019 2:36,11448,28.05,52.56,55.63,34.17,34.55,83,5.36,0.65,0.436,8.02,0.83,0.15,0.69,-0.78,0.98,0.53,1.59,-83.3,STRI
1/1/2019 2:42,11449,28.05,52.57,55.63,34.17,34.55,83.4,5.38,0.64,0.427,8.02,0.84,0.19,0.79,-0.74,1.1,0.51,1.52,-83.4,STRI
1/1/2019 2:48,11450,28.04,52.56,55.62,34.17,34.55,82.9,5.35,0.65,0.434,8.02,0.84,0.16,0.7,-0.71,1.2,0.51,1.54,-83.3,STRI
1/1/2019 3:00,11451,28.04,52.57,55.62,34.17,34.55,83.7,5.4,0.66,0.44,8.02,0.87,0.2,0.83,-0.64,1.49,0.5,1.51,-83.5,STRI
1/1/2019 3:06,11452,28.02,52.57,55.6,34.17,34.55,83.4,5.39,0.65,0.436,8.02,0.84,0.17,0.74,-0.57,1.72,0.51,1.53,-83.4,STRI
1/1/2019 3:12,11453,28.01,52.56,55.59,34.17,34.55,82.9,5.35,0.68,0.45,8.02,0.9,0.18,0.76,-0.56,1.75,0.51,1.53,-83.3,STRI
1/1/2019 3:18,11454,28.01,52.57,55.59,34.17,34.55,83.9,5.41,0.66,0.442,8.02,0.85,0.18,0.76,-0.58,1.69,0.66,1.97,-83.5,STRI
1/1/2019 3:30,11455,28,52.57,55.58,34.17,34.55,83.9,5.42,0.67,0.449,8.03,1.03,0.19,0.8,-0.52,1.89,0.5,1.49,-83.6,STRI
1/1/2019 3:36,11456,28,52.56,55.57,34.16,34.55,83.5,5.39,0.69,0.461,8.02,0.88,0.2,0.82,-0.53,1.86,0.5,1.49,-83.5,STRI
1/1/2019 3:42,11457,27.99,52.56,55.56,34.17,34.55,83.5,5.39,0.7,0.467,8.02,0.82,0.17,0.74,-0.61,1.59,0.51,1.52,-83.4,STRI
1/1/2019 3:48,11458,27.98,52.57,55.56,34.17,34.55,83.3,5.38,0.69,0.461,8.02,0.85,0.14,0.67,-0.64,1.49,0.52,1.56,-83.4,STRI
1/1/2019 4:00,11459,27.98,52.56,55.55,34.16,34.55,84,5.43,0.71,0.475,8.03,0.89,0.22,0.87,-0.55,1.78,0.51,1.54,-83.6,STRI
1/1/2019 4:06,11460,27.95,52.55,55.52,34.16,34.54,82.9,5.36,0.74,0.494,8.02,0.82,0.18,0.76,-0.63,1.52,0.54,1.62,-83.3,STRI
1/1/2019 4:12,11461,27.95,52.55,55.52,34.16,34.54,82.5,5.33,0.72,0.482,8.02,0.86,0.18,0.78,-0.65,1.42,0.73,2.2,-83.2,STRI
1/1/2019 4:18,11462,27.95,52.55,55.52,34.16,34.54,82.1,5.31,0.74,0.495,8.02,0.84,0.16,0.71,-0.59,1.64,0.54,1.63,-83.1,STRI
1/1/2019 4:30,11463,27.95,52.56,55.52,34.16,34.54,82.6,5.34,0.74,0.496,8.02,0.89,0.22,0.88,-0.53,1.89,0.53,1.58,-83.2,STRI
1/1/2019 4:36,11464,27.94,52.56,55.5,34.16,34.54,83.4,5.39,0.77,0.518,8.02,0.89,0.17,0.73,-0.61,1.57,0.51,1.53,-83.4,STRI
1/1/2019 4:42,11465,27.94,52.56,55.51,34.16,34.55,83.6,5.41,0.78,0.525,8.02,0.85,0.18,0.75,-0.64,1.49,0.52,1.55,-83.5,STRI
1/1/2019 4:48,11466,27.93,52.56,55.5,34.16,34.55,83.3,5.38,0.78,0.524,8.02,0.81,0.17,0.75,-0.63,1.5,0.53,1.58,-83.4,STRI
1/1/2019 5:00,11467,27.93,52.56,55.5,34.16,34.55,83.4,5.39,0.81,0.545,8.02,0.85,0.14,0.64,-0.66,1.42,0.5,1.51,-83.4,STRI
1/1/2019 5:06,11468,27.91,52.55,55.47,34.16,34.54,82.5,5.34,0.83,0.553,8.02,0.84,0.18,0.75,-0.64,1.48,0.52,1.56,-83.2,STRI
1/1/2019 5:12,11469,27.9,52.55,55.47,34.16,34.54,83.2,5.38,0.84,0.561,8.02,0.86,0.13,0.64,-0.63,1.51,0.51,1.54,-83.4,STRI
1/1/2019 5:18,11470,27.9,52.55,55.46,34.16,34.54,81.7,5.29,0.85,0.572,8.02,0.87,0.13,0.63,-0.73,1.14,0.53,1.58,-83,STRI
1/1/2019 5:30,11471,27.89,52.55,55.45,34.16,34.54,81.2,5.25,0.87,0.581,8.01,0.85,0.16,0.71,-0.66,1.38,0.54,1.61,-82.9,STRI
1/1/2019 5:36,11472,27.88,52.55,55.44,34.16,34.54,81.9,5.3,0.89,0.6,8.02,0.87,0.12,0.61,-0.71,1.22,0.52,1.57,-83,STRI
1/1/2019 5:42,11473,27.88,52.55,55.44,34.16,34.54,82.8,5.36,0.89,0.6,8.02,0.8,0.14,0.65,-0.71,1.23,0.52,1.56,-83.3,STRI
1/1/2019 5:48,11474,27.87,52.55,55.43,34.16,34.54,81.8,5.3,0.91,0.609,8.02,0.8,0.19,0.79,-0.65,1.44,0.68,2.04,-83,STRI
1/1/2019 6:00,11475,27.86,52.55,55.42,34.16,34.54,81.6,5.28,0.92,0.619,8.02,0.85,0.13,0.62,-0.75,1.09,0.52,1.57,-83,STRI
