TMSTAMP,RECNBR,WaterTemp,SpCond,Cond,TDS,Salinity,ODOSat,ODO,Pressure,Depth,PH,Turbidity,FChlorophyll,MChlorophyll,FAlgae,MAlgae,fDom,QSEfDom,pHmv,Site
1/1/2019 6:06,11476,27.87,52.55,55.44,34.16,34.54,84.6,5.47,0.95,0.638,8.03,0.84,0.13,0.64,-0.68,1.31,0.5,1.49,-83.8,STRI
1/1/2019 6:12,11477,27.87,52.56,55.44,34.16,34.55,84.2,5.45,0.96,0.648,8.03,0.93,0.14,0.66,-0.74,1.1,0.52,1.57,-83.6,STRI
1/1/2019 6:18,11478,27.86,52.56,55.43,34.16,34.55,84.1,5.44,0.99,0.665,8.03,0.84,0.15,0.69,-0.67,1.36,0.49,1.46,-83.6,STRI
1/1/2019 6:30,11479,27.86,52.56,55.43,34.16,34.55,83.8,5.43,0.99,0.668,8.03,0.81,0.14,0.64,-0.74,1.12,0.5,1.49,-83.6,STRI
1/1/2019 6:36,11480,27.86,52.56,55.43,34.16,34.55,83.5,5.41,1.01,0.68,8.03,0.82,0.14,0.65,-0.8,0.88,0.47,1.4,-83.5,STRI
1/1/2019 6:42,11481,27.87,52.56,55.44,34.16,34.55,83.6,5.41,1.04,0.703,8.03,0.8,0.13,0.62,-0.75,1.09,0.47,1.4,-83.6,STRI
1/1/2019 6:48,11482,27.89,52.57,55.47,34.17,34.55,82.9,5.36,1.03,0.694,8.02,0.79,0.14,0.65,-0.73,1.15,0.41,1.22,-83.5,STRI
1/1/2019 7:00,11483,27.91,52.58,55.51,34.18,34.56,83.7,5.41,1.05,0.71,8.03,0.94,0.2,0.82,-0.72,1.17,0.42,1.25,-83.8,STRI
1/1/2019 7:06,11484,27.9,52.59,55.5,34.18,34.57,84.5,5.47,1.07,0.722,8.03,0.87,0.11,0.56,-0.88,0.6,0.43,1.29,-83.9,STRI
1/1/2019 7:12,11485,27.9,52.6,55.51,34.19,34.58,83.8,5.42,1.1,0.742,8.03,0.83,0.09,0.5,-0.84,0.75,0.44,1.32,-83.7,STRI
1/1/2019 7:18,11486,27.89,52.6,55.5,34.19,34.58,83.4,5.4,1.09,0.739,8.03,0.94,0.17,0.73,-0.7,1.27,0.46,1.38,-83.6,STRI
1/1/2019 7:30,11487,27.87,52.59,55.48,34.19,34.57,82.9,5.36,1.1,0.744,8.02,0.94,0.12,0.6,-0.78,0.97,0.49,1.46,-83.5,STRI
1/1/2019 7:36,11488,27.87,52.59,55.47,34.18,34.57,82.3,5.32,1.13,0.763,8.02,0.75,0.09,0.51,-0.74,1.12,0.5,1.5,-83.4,STRI
1/1/2019 7:42,11489,27.86,52.59,55.46,34.18,34.57,82.6,5.35,1.14,0.772,8.02,0.84,0.13,0.62,-0.77,1.01,0.45,1.35,-83.4,STRI
1/1/2019 7:48,11490,27.86,52.59,55.46,34.18,34.57,82.9,5.36,1.14,0.768,8.02,0.96,0.12,0.6,-0.79,0.93,0.46,1.38,-83.5,STRI
1/1/2019 8:00,11491,27.86,52.59,55.47,34.18,34.57,83.1,5.38,1.15,0.779,8.03,0.82,0.07,0.45,-0.86,0.69,0.45,1.36,-83.6,STRI
1/1/2019 8:06,11492,27.88,52.61,55.5,34.2,34.59,84.5,5.47,1.16,0.783,8.03,0.76,0.1,0.55,-0.84,0.76,0.41,1.23,-84,STRI
1/1/2019 8:12,11493,27.88,52.61,55.5,34.19,34.58,84.4,5.46,1.18,0.797,8.03,1.06,0.13,0.61,-0.83,0.79,0.41,1.24,-83.9,STRI
1/1/2019 8:18,11494,27.89,52.61,55.51,34.2,34.58,85.3,5.51,1.17,0.788,8.03,0.81,0.08,0.48,-0.88,0.61,0.4,1.19,-84.1,STRI
1/1/2019 8:30,11495,27.91,52.62,55.54,34.2,34.59,85.8,5.55,1.19,0.803,8.04,0.81,0.09,0.5,-0.81,0.84,0.38,1.13,-84.2,STRI
1/1/2019 8:36,11496,27.96,52.65,55.62,34.22,34.61,87.7,5.66,1.2,0.811,8.05,0.75,0.1,0.53,-0.82,0.83,0.35,1.05,-84.8,STRI
1/1/2019 8:42,11497,27.95,52.65,55.62,34.22,34.62,87.5,5.65,1.2,0.814,8.05,0.84,0.1,0.53,-0.78,0.95,0.34,1.03,-84.7,STRI
1/1/2019 8:48,11498,27.95,52.64,55.61,34.22,34.61,87.6,5.66,1.2,0.811,8.05,0.86,0.07,0.46,-0.89,0.57,0.36,1.07,-84.7,STRI
1/1/2019 9:00,11499,27.93,52.64,55.59,34.22,34.61,87.5,5.66,1.21,0.821,8.05,0.78,0.08,0.48,-0.79,0.94,0.37,1.1,-84.7,STRI
1/1/2019 9:06,11500,27.96,52.65,55.62,34.22,34.61,87.8,5.67,1.2,0.815,8.05,128.3,0.07,0.45,-0.88,0.62,0.71,2.12,-84.9,STRI
1/1/2019 9:12,11501,27.96,52.66,55.64,34.23,34.62,87.9,5.68,1.22,0.823,8.05,5.12,0.81,2.55,0.66,6.2,8.28,24.85,-84.8,STRI
1/1/2019 9:18,11502,27.96,52.66,55.63,34.23,34.62,88,5.69,1.2,0.813,8.05,0.83,0.09,0.5,-0.74,1.11,0.34,1.02,-84.8,STRI
1/1/2019 9:30,11503,27.96,52.65,55.63,34.22,34.61,88.2,5.7,1.21,0.822,8.05,0.92,0.07,0.44,-0.86,0.66,0.36,1.08,-84.9,STRI
1/1/2019 9:36,11504,27.96,52.65,55.63,34.22,34.61,88.3,5.71,1.22,0.827,8.05,0.79,0.1,0.54,-0.92,0.46,0.34,1.01,-84.9,STRI
1/1/2019 9:42,11505,27.97,52.66,55.65,34.23,34.62,88.8,5.74,1.21,0.821,8.05,0.8,0.09,0.53,-0.86,0.68,0.32,0.96,-85,STRI
1/1/2019 9:48,11506,27.99,52.66,55.66,34.23,34.62,89.3,5.77,1.21,0.819,8.05,0.75,0.09,0.51,-0.86,0.69,0.35,1.05,-85,STRI
1/1/2019 10:00,11507,28,52.66,55.68,34.23,34.62,89.5,5.78,1.22,0.827,8.05,0.8,0.09,0.5,-0.66,1.41,0.33,0.99,-85.2,STRI
1/1/2019 10:06,11508,28.03,52.67,55.71,34.23,34.62,90.5,5.84,1.22,0.824,8.06,1.51,0.06,0.42,-0.82,0.82,0.32,0.95,-85.4,STRI
1/1/2019 10:12,11509,28.03,52.67,55.72,34.24,34.63,89.7,5.79,1.2,0.814,8.06,13.9,0.04,0.37,-0.84,0.73,0.83,2.49,-85.3,STRI
1/1/2019 10:18,11510,28.05,52.67,55.74,34.24,34.63,86.6,5.58,1.21,0.82,8.06,1.08,0.1,0.53,-0.82,0.81,0.34,1.01,-85.2,STRI
1/1/2019 10:24,11511,28.06,52.68,55.76,34.24,34.63,91.1,5.87,1.21,0.818,8.06,1.01,0.04,0.38,-0.87,0.65,0.31,0.92,-85.5,STRI
1/1/2019 10:30,11512,28.08,52.68,55.78,34.24,34.63,91.6,5.9,1.2,0.809,8.06,0.83,0.04,0.36,-0.92,0.44,0.31,0.94,-85.6,STRI
1/1/2019 10:36,11513,28.09,52.68,55.79,34.24,34.63,92.2,5.94,1.2,0.815,8.06,0.88,0.03,0.35,-0.99,0.22,0.31,0.93,-85.6,STRI
1/1/2019 10:42,11514,28.12,52.69,55.83,34.25,34.64,92.6,5.96,1.19,0.806,8.06,0.92,0,0.27,-0.95,0.34,0.32,0.97,-85.7,STRI
1/1/2019 10:54,11515,28.13,52.69,55.84,34.25,34.64,93.1,6,1.2,0.81,8.07,0.78,0.08,0.49,-0.85,0.7,0.31,0.94,-85.8,STRI
1/1/2019 11:00,11516,28.19,52.7,55.91,34.25,34.64,93,5.99,1.18,0.801,8.07,0.84,0.02,0.31,-0.87,0.64,0.29,0.87,-85.8,STRI
1/1/2019 11:06,11517,28.22,52.7,55.94,34.26,34.64,92.6,5.96,1.18,0.798,8.06,0.86,0.02,0.31,-0.98,0.25,0.29,0.86,-85.7,STRI
1/1/2019 11:12,11518,28.25,52.7,55.98,34.26,34.64,91.9,5.91,1.17,0.791,8.06,0.86,0.03,0.33,-0.94,0.37,0.28,0.83,-85.5,STRI
1/1/2019 11:24,11519,28.28,52.72,56.02,34.27,34.65,92,5.91,1.17,0.79,8.06,0.98,0.05,0.4,-0.94,0.37,0.26,0.78,-85.5,STRI
1/1/2019 11:30,11520,28.3,52.71,56.02,34.26,34.64,92.8,5.96,1.15,0.78,8.06,0.81,0,0.26,-1,0.15,0.27,0.8,-85.6,STRI
1/1/2019 11:36,11521,28.3,52.7,56.02,34.26,34.64,93.2,5.99,1.13,0.762,8.06,0.84,0.04,0.37,-0.99,0.2,0.26,0.78,-85.7,STRI
1/1/2019 11:48,11522,28.31,52.7,56.02,34.25,34.64,93.9,6.03,1.13,0.763,8.06,0.84,0.01,0.29,-0.99,0.21,0.28,0.84,-85.8,STRI
1/1/2019 11:54,11523,28.33,52.69,56.04,34.25,34.63,96.1,6.17,1.1,0.741,8.07,0.82,0.04,0.37,-1.02,0.09,0.29,0.88,-86.3,STRI
1/1/2019 12:00,11524,28.33,52.69,56.04,34.25,34.63,98.3,6.31,1.09,0.738,8.08,0.82,0.02,0.32,-0.9,0.53,0.3,0.89,-86.8,STRI
1/1/2019 12:06,11525,28.34,52.69,56.05,34.25,34.63,99.9,6.41,1.07,0.723,8.09,1.2,0.07,0.46,-0.9,0.54,0.31,0.94,-87.1,STRI
1/1/2019 12:18,11526,28.35,52.69,56.06,34.25,34.63,100.8,6.47,1.07,0.722,8.09,0.87,0.05,0.39,-1.07,-0.09,0.3,0.9,-87.3,STRI
1/1/2019 12:24,11527,28.38,52.69,56.08,34.25,34.63,102.2,6.55,1.04,0.699,8.1,0.8,0.04,0.36,-0.98,0.25,0.33,0.99,-87.6,STRI
1/1/2019 12:30,11528,28.39,52.69,56.1,34.25,34.63,102.8,6.6,1.02,0.69,8.1,0.87,0.08,0.47,-0.83,0.78,0.3,0.91,-87.8,STRI
1/1/2019 12:36,11529,28.4,52.69,56.12,34.25,34.63,101.7,6.52,1,0.677,8.1,0.96,0.06,0.44,-0.95,0.35,0.28,0.84,-87.7,STRI
1/1/2019 12:42,11530,28.42,52.69,56.13,34.25,34.62,100.6,6.45,0.99,0.666,8.09,0.81,0.05,0.41,-0.96,0.31,0.29,0.86,-87.6,STRI
1/1/2019 12:48,11531,28.43,52.69,56.14,34.25,34.63,103.3,6.62,0.97,0.652,8.1,0.83,0.04,0.37,-0.92,0.46,0.3,0.91,-88,STRI
1/1/2019 12:54,11532,28.44,52.69,56.15,34.25,34.63,104.4,6.69,0.96,0.649,8.11,0.84,0.03,0.35,-0.97,0.27,0.3,0.91,-88.2,STRI
1/1/2019 13:00,11533,28.45,52.69,56.17,34.25,34.63,106.3,6.81,0.94,0.632,8.11,0.82,0.07,0.45,-0.96,0.31,0.28,0.84,-88.4,STRI
1/1/2019 13:12,11534,28.48,52.69,56.19,34.25,34.62,107.3,6.87,0.92,0.617,8.11,0.84,0.04,0.37,-0.92,0.45,0.32,0.96,-88.5,STRI
1/1/2019 13:18,11535,28.49,52.7,56.21,34.25,34.63,106.3,6.81,0.89,0.598,8.11,0.79,0.08,0.48,-0.94,0.4,0.3,0.91,-88.3,STRI
1/1/2019 13:24,11536,28.5,52.71,56.23,34.26,34.64,104.6,6.7,0.88,0.59,8.1,1.03,0.36,1.28,0.45,5.43,0.38,1.13,-88.1,STRI
1/1/2019 13:36,11537,28.55,52.69,56.26,34.25,34.62,106.5,6.81,0.85,0.57,8.11,0.84,0.1,0.55,-0.87,0.62,0.33,0.99,-88.3,STRI
1/1/2019 13:42,11538,28.58,52.7,56.31,34.26,34.63,102.4,6.55,0.84,0.562,8.09,2.78,0.03,0.34,-0.83,0.77,0.32,0.97,-87.6,STRI
1/1/2019 13:48,11539,28.63,52.69,56.35,34.25,34.62,105.8,6.76,0.81,0.541,8.1,0.82,0.05,0.39,-0.82,0.81,0.34,1.03,-87.8,STRI
1/1/2019 13:54,11540,28.62,52.72,56.36,34.26,34.64,106.1,6.78,0.8,0.539,8.1,0.8,0.04,0.38,-0.93,0.41,0.32,0.95,-87.9,STRI
1/1/2019 14:06,11541,28.66,52.69,56.38,34.25,34.62,105.5,6.74,0.78,0.521,8.1,0.75,0.05,0.4,-0.93,0.42,0.34,1.02,-87.7,STRI
1/1/2019 14:12,11542,28.72,52.73,56.47,34.27,34.65,106.2,6.78,0.75,0.5,8.1,0.81,0.07,0.44,-0.72,1.17,0.35,1.05,-87.8,STRI
1/1/2019 14:18,11543,28.76,52.71,56.49,34.26,34.63,107.4,6.85,0.74,0.494,8.1,0.82,0.08,0.47,-0.93,0.42,0.36,1.07,-88.2,STRI
1/1/2019 14:30,11544,28.82,52.7,56.55,34.26,34.63,109.2,6.95,0.74,0.493,8.11,0.79,0.03,0.34,-0.99,0.19,0.36,1.09,-88.5,STRI
1/1/2019 14:36,11545,28.87,52.73,56.63,34.27,34.64,110.5,7.03,0.71,0.476,8.11,0.79,0.02,0.32,-0.9,0.54,0.39,1.16,-88.4,STRI
1/1/2019 14:42,11546,28.89,52.72,56.63,34.26,34.63,111.7,7.1,0.69,0.458,8.11,0.84,0.1,0.53,-0.92,0.44,0.37,1.12,-88.6,STRI
1/1/2019 14:54,11547,28.94,52.71,56.68,34.26,34.63,112.4,7.14,0.68,0.454,8.11,0.8,0.07,0.45,-0.81,0.84,0.44,1.33,-88.5,STRI
1/1/2019 15:00,11548,28.95,52.71,56.69,34.26,34.63,113.8,7.23,0.65,0.435,8.12,0.79,0.06,0.43,-0.8,0.9,0.64,1.91,-88.8,STRI
1/1/2019 15:06,11549,28.91,52.73,56.67,34.28,34.64,113,7.18,0.65,0.433,8.11,0.79,0.05,0.39,-0.87,0.64,0.55,1.64,-88.7,STRI
1/1/2019 15:12,11550,28.88,52.72,56.63,34.27,34.64,111.5,7.1,0.65,0.433,8.11,0.87,0.04,0.36,-0.85,0.72,0.47,1.42,-88.5,STRI
1/1/2019 15:24,11551,28.89,52.72,56.64,34.27,34.64,110.8,7.05,0.63,0.416,8.11,0.84,0.04,0.36,-0.89,0.57,0.48,1.44,-88.5,STRI
1/1/2019 15:30,11552,28.88,52.68,56.58,34.24,34.61,110.7,7.05,0.61,0.405,8.1,0.78,0.04,0.38,-0.84,0.74,0.58,1.74,-87.8,STRI
1/1/2019 15:36,11553,28.87,52.68,56.57,34.24,34.6,109.5,6.97,0.61,0.407,8.09,0.88,0.06,0.43,-0.84,0.74,0.53,1.58,-87.6,STRI
1/1/2019 15:42,11554,28.87,52.68,56.58,34.24,34.61,110.7,7.05,0.59,0.394,8.1,0.82,0.09,0.51,-0.69,1.31,0.51,1.52,-88,STRI
1/1/2019 15:54,11555,28.84,52.7,56.57,34.26,34.62,110.6,7.04,0.59,0.391,8.11,0.81,0.11,0.57,-0.76,1.02,0.48,1.44,-88.3,STRI
1/1/2019 16:00,11556,28.8,52.74,56.56,34.28,34.65,110.8,7.06,0.57,0.38,8.11,0.79,0.12,0.61,-0.74,1.11,0.46,1.38,-88.3,STRI
1/1/2019 16:06,11557,28.82,52.75,56.6,34.29,34.66,112.8,7.18,0.58,0.386,8.12,0.81,0.07,0.46,-0.76,1.04,0.48,1.45,-88.8,STRI
1/1/2019 16:12,11558,28.79,52.78,56.61,34.31,34.69,112.3,7.16,0.56,0.372,8.12,0.79,0.12,0.59,-0.74,1.09,0.45,1.34,-89,STRI
1/1/2019 16:24,11559,28.8,52.77,56.6,34.3,34.68,113.3,7.22,0.56,0.37,8.12,0.82,0.12,0.59,-0.73,1.16,0.48,1.45,-89,STRI
1/1/2019 16:30,11560,28.76,52.78,56.57,34.31,34.68,111.9,7.13,0.54,0.358,8.12,0.8,0.2,0.82,-0.73,1.14,0.42,1.27,-88.9,STRI
1/1/2019 16:36,11561,28.74,52.78,56.56,34.31,34.69,113,7.21,0.55,0.364,8.12,0.79,0.15,0.68,-0.71,1.21,0.39,1.18,-89.2,STRI
1/1/2019 16:42,11562,28.77,52.75,56.55,34.28,34.66,113.3,7.22,0.53,0.352,8.12,0.83,0.17,0.75,-0.6,1.63,0.43,1.28,-89.1,STRI
1/1/2019 16:54,11563,28.74,52.76,56.53,34.3,34.67,110.5,7.05,0.55,0.364,8.11,0.8,0.16,0.72,-0.66,1.4,0.4,1.2,-88.6,STRI
1/1/2019 17:00,11564,28.79,52.71,56.53,34.26,34.63,108.4,6.91,0.53,0.352,8.09,0.82,0.15,0.67,-0.69,1.28,0.5,1.51,-87.6,STRI
1/1/2019 17:06,11565,28.73,52.72,56.48,34.27,34.64,105,6.69,0.55,0.361,8.08,0.88,0.19,0.8,-0.54,1.83,0.49,1.46,-87,STRI
1/1/2019 17:12,11566,28.79,52.67,56.48,34.24,34.6,108,6.88,0.53,0.351,8.09,0.91,0.15,0.69,-0.73,1.16,0.54,1.61,-87.2,STRI
1/1/2019 17:24,11567,28.77,52.69,56.49,34.25,34.62,107.3,6.84,0.55,0.361,8.09,0.96,0.13,0.62,-0.73,1.13,0.51,1.53,-87.2,STRI
1/1/2019 17:30,11568,28.76,52.68,56.46,34.24,34.61,107.5,6.86,0.55,0.361,8.09,0.91,0.19,0.79,-0.61,1.59,0.52,1.56,-87.3,STRI
1/1/2019 17:36,11569,28.75,52.67,56.45,34.24,34.61,107.5,6.85,0.54,0.359,8.09,0.94,0.17,0.75,-0.63,1.49,0.54,1.61,-87.3,STRI
1/1/2019 17:42,11570,28.78,52.67,56.47,34.24,34.6,106.6,6.8,0.55,0.363,8.09,2.82,0.16,0.71,-0.65,1.45,0.55,1.66,-87.2,STRI
1/1/2019 17:54,11571,28.78,52.7,56.5,34.26,34.63,109,6.95,0.55,0.363,8.1,1.02,0.22,0.88,-0.55,1.81,0.49,1.46,-88,STRI
1/1/2019 18:00,11572,28.68,52.72,56.43,34.27,34.64,104.7,6.68,0.57,0.376,8.09,0.99,0.18,0.78,-0.57,1.73,0.44,1.32,-87.3,STRI
1/1/2019 18:06,11573,28.69,52.71,56.42,34.26,34.64,105.5,6.73,0.56,0.369,8.09,0.9,0.22,0.87,-0.53,1.87,0.45,1.34,-87.5,STRI
1/1/2019 18:12,11574,28.64,52.74,56.4,34.28,34.65,102.9,6.57,0.56,0.373,8.08,0.87,0.18,0.76,-0.65,1.42,0.43,1.29,-86.9,STRI
1/1/2019 18:24,11575,28.62,52.73,56.38,34.27,34.65,102.4,6.54,0.58,0.383,8.08,0.91,0.24,0.93,-0.62,1.56,0.4,1.21,-86.9,STRI
1/1/2019 18:30,11576,28.57,52.73,56.33,34.27,34.65,99,6.33,0.58,0.387,8.07,0.94,0.28,1.04,-0.55,1.81,0.4,1.19,-86.1,STRI
